"astro-ph/0602251","Gilbert Holder","Gilbert Holder (McGill University)","Likelihood Functions for Galaxy Cluster Surveys","6 pages, 3 figures, updated key reference",,,,"astro-ph",,"  Galaxy cluster surveys offer great promise for measuring cosmological
parameters, but survey analysis methods have not been widely studied. Using
methods developed decades ago for galaxy clustering studies, it is shown that
nearly exact likelihood functions can be written down for galaxy cluster
surveys. The sparse sampling of the density field by galaxy clusters allows
simplifications that are not possible for galaxy surveys. An application to
counts in cells is explicitly tested using cluster catalogs from numerical
simulations and it is found that the calculated probability distributions are
very accurate at masses above several times 10^{14}h^{-1} solar masses at z=0
and lower masses at higher redshift.
","[{""version"":""v1"",""created"":""Sat, 11 Feb 2006 18:53:48 GMT""},{""version"":""v2"",""created"":""Tue, 14 Feb 2006 14:26:01 GMT""},{""version"":""v3"",""created"":""Thu, 16 Feb 2006 00:27:06 GMT""}]","2007-05-23"
"astro-ph/0602259","Neal J. Evans II","K. E. Young, M. L. Enoch, N. J. Evans II, J. Glenn, A. Sargent, T.
  Huard, J. Aguirre, S. Golwala, D. Haig, P. Harvey, G. Laurent, P. Mauskopf,
  J. Sayers","Bolocam Survey for 1.1 mm Dust Continuum Emission in the c2d Legacy
  Clouds. II. Ophiuchus","47 pages, 16 figures, accepted for ApJ","Astrophys.J. 644 (2006) 326-343","10.1086/503327",,"astro-ph",,"  We present a large-scale millimeter continuum map of the Ophiuchus molecular
cloud. Nearly 11 square degrees, including all of the area in the cloud with
visual extinction more than 3 magnitudes, was mapped at 1.1 mm with Bolocam on
the Caltech Submillimeter Observatory (CSO). By design, the map also covers the
region mapped in the infrared with the Spitzer Space Telescope. We detect 44
definite sources, and a few likely sources are also seen along a filament in
the eastern streamer. The map indicates that dense cores in Ophiuchus are very
clustered and often found in filaments within the cloud. Most sources are
round, as measured at the half power point, but elongated when measured at
lower contour levels, suggesting spherical sources lying within filaments. The
masses, for an assumed dust temperature of 10 K, range from 0.24 to 3.9 solar
masses, with a mean value of 0.96 solar masses. The total mass in distinct
cores is 42 solar masses, 0.5 to 2% of the total cloud mass, and the total mass
above 4 sigma is about 80 solar masses. The mean densities in the cores are
quite high, with an average of 1.6 x 10^6 per cc, suggesting short free-fall
times. The core mass distribution can be fitted with a power law with slope of
2.1 plus or minus 0.3 for M>0.5 solar masses, similar to that found in other
regions, but slightly shallower than that of some determinations of the local
IMF. In agreement with previous studies, our survey shows that dense cores
account for a very small fraction of the cloud volume and total mass. They are
nearly all confined to regions with visual extinction at least 9 mag, a lower
threshold than found previously.
","[{""version"":""v1"",""created"":""Sat, 11 Feb 2006 20:20:09 GMT""}]","2009-11-11"
"astro-ph/0602260","Alexander Kosovichev","Junwei Zhao and Alexander G. Kosovichev","Surface Magnetism Effects in Time-Distance Helioseismology","19 pages, 8 figures, Astrophys.J., in press","Astrophys.J. 643 (2006) 1317-1324","10.1086/503248",,"astro-ph",,"  Recent observations of helioseismic holography revealed that magnetic fields
inclined to the line-of-sight direction could cause systematic variations in
measured acoustic phase shifts, and that the surface magnetic field may shift
the phases and impair the coherence of acoustic waves (known as ""showerglass
effect""). We examine how these affect time-distance helioseismology
measurements. It is confirmed that the inclined magnetic field could cause
variations in acoustic travel times inside sunspot penumbra, however,
inversions of the measured times show that this effect only slightly shifts the
location of negative sound-speed variations near the solar surface, but does
not change the inverted deeper interior structures. Regarding to the
showerglass effect, we find that outgoing and incoming travel time
perturbations through sunspots are significantly smaller than those reported
from helioseismic holography. In addition, our second-skip cross-correlation
experiments demonstrate that inside sunspots, the half of the double-skip
travel times are very similar to the mean single-skip travel times. We conclude
that these surface magnetism effects do not cause considerable systematic
errors in time-distance helioseismology of active regions.
","[{""version"":""v1"",""created"":""Sat, 11 Feb 2006 23:54:21 GMT""}]","2009-11-11"
"astro-ph/0602261","Konstantin Belotsky M.","K.Belotsky, M.Khlopov, K.Shibaev","Stable matter of 4th generation: hidden in the Universe and close to
  detection?","Submitted to the proceedings of the 12th Lomonosov Conference on
  Elementary Particle Physics, Moscow, 25-31 August, 2005",,"10.1142/9789812772657_0029",,"astro-ph",,"  Stable neutrino and U quark of 4th generation are excluded neither by
experimental data, nor by astrophysical constraints. Moreover, excess of stable
$\bar U$ quarks in the Universe can lead to an exciting composite
nuclear-interacting form of dark matter, which can even dominate in large scale
structure formation.
","[{""version"":""v1"",""created"":""Sat, 11 Feb 2006 23:49:51 GMT""}]","2016-12-07"
"astro-ph/0602262","Eric Keto","Eric Keto, Avery Broderick, Charles J. Lada, Ramesh Narayan","Oscillations of starless cores","submitted to the Astrophysical Journal",,"10.1086/508251",,"astro-ph",,"  If the split, asymmetric molecular spectral line profiles that are seen in
many starless cores are interpreted as indicative of global collapse or
expansion of the core then one possible implication is that most starless cores
have short lifetimes on the order of the collapse or sound crossing time scale.
An alternative interpretation of the line profiles as indicative of
perturbations on an underlying equilibrium structure leads to the opposite
implication, that many cores have long lifetimes. While evidence suggests that
some cores are collapsing on a free-fall time scale, we show that observations
of some other starless cores can be reproduced by a model of non-radial
oscillations about the equilibrium configuration of a pressure-bounded,
thermally-supported sphere (Bonnor-Ebert sphere). We model the oscillations as
linear perturbations following a standard analysis developed for stellar
pulsations and compare the column densities and molecular spectral line
profiles predicted from a particular model to observations of the Bok globule
B68.
","[{""version"":""v1"",""created"":""Sun, 12 Feb 2006 14:27:43 GMT""}]","2009-11-11"
"cond-mat/0602284","Dan Csontos","Dan Csontos and Sergio E. Ulloa","Spin polarization control by electric field gradients","7 pages, 4 figures; updated and extended version, added figure,
  updated reference list","Phys. Rev. B 74, 155207 (2006)","10.1103/PhysRevB.74.155207",,"cond-mat.mtrl-sci",,"  We show that the propagation of spin polarized carriers may be dramatically
affected by {\em inhomogeneous} electric fields. Surprisingly, the spin
diffusion length is found to strongly depend on the sign and magnitude of
electric field \emph{gradients}, in addition to the previously reported
dependence on the sign and magnitude of the electric field [Yu & Flatt\'e,
Phys. Rev. B {\bf 66}, 201202(R) 2002; {\em ibid.} {\bf 66}, 235302 (2002)].
This indicates that purely electrical effects may play a crucial role in spin
polarized injection, transport and detection in semiconductor spintronics. A
generalized drift-diffusion equation that describes our findings is derived and
verified by numerical calculations using the Boltzmann transport equation.
","[{""version"":""v1"",""created"":""Sat, 11 Feb 2006 20:19:43 GMT""},{""version"":""v2"",""created"":""Thu, 15 Jun 2006 23:52:19 GMT""},{""version"":""v3"",""created"":""Thu, 25 Jan 2007 22:15:58 GMT""}]","2009-11-11"
"cond-mat/0602285","Liping Huang","Liping Huang, Murat Durandurdu, John Kieffer","Transformation Pathways of Silica under High Pressure","14 pages, 4 figures",,"10.1038/nmat1760",,"cond-mat.mtrl-sci",,"  Concurrent molecular dynamics simulations and ab initio calculations show
that densification of silica under pressure follows a ubiquitous two-stage
mechanism. First, anions form a close-packed sub-lattice, governed by the
strong repulsion between them. Next, cations redistribute onto the interstices.
In cristobalite silica, the first stage is manifest by the formation of a
metastable phase, which was observed experimentally a decade ago, but never
indexed due to ambiguous diffraction patterns. Our simulations conclusively
reveal its structure and its role in the densification of silica.
","[{""version"":""v1"",""created"":""Sun, 12 Feb 2006 03:13:01 GMT""}]","2015-06-25"
"cond-mat/0602286","Xingjun Zhang","X. Zhang and M. A. Novotny","Monte Carlo Simulation of Small-World Models with Weak Long-Range
  Interactions","5 pages, 5 figures; Submitted to PRE",,,,"cond-mat.mtrl-sci",,"  Large-scale Monte Carlo simulations, together with scaling, are used to
obtain the critical behavior of the Hastings long-range model and two
corresponding models based on small-world networks. These models have combined
short- and long-range interactions. For all three models, the critical scaling
behavior predicted by Hastings [Phys. Rev. Lett. 91, 098701] is verified.
","[{""version"":""v1"",""created"":""Sun, 12 Feb 2006 04:49:30 GMT""}]","2007-05-23"
"cond-mat/0602287","Kazumasa Hattori","Kazumasa Hattori, Yosuke Hirayama and Kazumasa Miyake","Realization of Strong Coupling Fixed Point in Multilevel Kondo Models","3 pages, 3 figures, for proceedings of ASR-WYP-2005. To be published
  in Journal of Physical Society Japan supplement",,"10.1143/JPSJS.75S.238",,"cond-mat.str-el",,"  Impurity four- and six-level Kondo model, in which an ion is tunneling among
four- and six-stable points and interacting with surrounding conduction
electrons, are investigated by using the perturbative and numerical
renormalization group methods. It is shown that purely orbital Kondo effects
occur at low temperatures in these systems which are direct generalizations of
the Kondo effect in the so-called two-level system. This result offers a good
explanation for the enhanced and magnetically robust Sommerfeld coefficient
observed in SmOs_4Sb_12 and some other filled-skutterudites.
","[{""version"":""v1"",""created"":""Sun, 12 Feb 2006 10:00:12 GMT""}]","2015-06-25"
"cs/0602043","Shanghua Teng","Xi Chen, Xiaotie Deng and Shang-Hua Teng","Computing Nash Equilibria: Approximation and Smoothed Complexity",,,,,"cs.CC cs.GT",,"  We show that the BIMATRIX game does not have a fully polynomial-time
approximation scheme, unless PPAD is in P. In other words, no algorithm with
time polynomial in n and 1/\epsilon can compute an \epsilon-approximate Nash
equilibrium of an n by nbimatrix game, unless PPAD is in P. Instrumental to our
proof, we introduce a new discrete fixed-point problem on a high-dimensional
cube with a constant side-length, such as on an n-dimensional cube with
side-length 7, and show that they are PPAD-complete. Furthermore, we prove,
unless PPAD is in RP, that the smoothed complexity of the Lemke-Howson
algorithm or any algorithm for computing a Nash equilibrium of a bimatrix game
is polynomial in n and 1/\sigma under perturbations with magnitude \sigma. Our
result answers a major open question in the smoothed analysis of algorithms and
the approximation of Nash equilibria.
","[{""version"":""v1"",""created"":""Sat, 11 Feb 2006 22:46:55 GMT""},{""version"":""v2"",""created"":""Wed, 22 Feb 2006 00:18:31 GMT""}]","2007-05-23"
